DATE_SCRUTIN;NOM_CIRCONSCRIPTION;CODE_CIRCONSCRIPTION;NOMBRE_ELECTEURS_AU_DECRET;NOMBRE_ELECTEURS_APRES_REVISION_ORDINAIRE;NOMBRE_ELECTEURS_APRES_REVISION_SPECIALE
2026-10-05;Abitibi-Est;689;33421;;
2026-10-05;Abitibi-Ouest;681;35359;;
2026-10-05;Acadie;299;49937;;
2026-10-05;Anjou-Louis-Riel;833;41335;;
2026-10-05;Argenteuil;589;42989;;
2026-10-05;Arthabaska-L'Érable;147;61868;;
2026-10-05;Beauce-Nord;781;46549;;
2026-10-05;Beauce-Sud;777;50761;;
2026-10-05;Beauharnois;179;59767;;
2026-10-05;Bellechasse;797;46149;;
2026-10-05;Bellefeuille;591;45279;;
2026-10-05;Berthier;627;53939;;
2026-10-05;Bertrand;641;59914;;
2026-10-05;Blainville;607;62280;;
2026-10-05;Bonaventure;837;35864;;
2026-10-05;Borduas;237;58595;;
2026-10-05;Bourassa-Sauvé;327;44066;;
2026-10-05;Brome-Missisquoi;157;57369;;
2026-10-05;Camille-Laurin;337;49084;;
2026-10-05;Chambly;207;54342;;
2026-10-05;Champlain;701;60661;;
2026-10-05;Chapleau;667;58916;;
2026-10-05;Charlesbourg;767;57485;;
2026-10-05;Charlevoix-Côte-de-Beaupré;771;55904;;
2026-10-05;Châteauguay;191;56790;;
2026-10-05;Chauveau;769;59824;;
2026-10-05;Chicoutimi;821;45772;;
2026-10-05;Chomedey;351;56887;;
2026-10-05;Chutes-de-la-Chaudière;789;61947;;
2026-10-05;Côte-du-Sud;799;50522;;
2026-10-05;Daniel-Johnson;131;49410;;
2026-10-05;D'Arcy-McGee;277;56631;;
2026-10-05;Deux-Montagnes;581;50335;;
2026-10-05;Drummond-Bois-Francs;141;53549;;
2026-10-05;Dubuc;819;43080;;
2026-10-05;Duplessis;813;37076;;
2026-10-05;Fabre;357;58413;;
2026-10-05;Gaspé;809;30082;;
2026-10-05;Gatineau;661;61707;;
2026-10-05;Gouin;311;42595;;
2026-10-05;Granby;159;58940;;
2026-10-05;Groulx;577;54140;;
2026-10-05;Hochelaga-Maisonneuve;317;40308;;
